sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
3473,48.6761759525293,-119.662477101035,United States,Washington,Okanogan,-8,8.99936993408203,24.5840096098653,16.1638181771802,2.731747865676884
3474,48.7002713146274,-119.501957417538,United States,Washington,Okanogan,-8,32.2505830810547,87.5120194417047,4.1219090885901,2.713501930236815
3475,48.724206980958,-119.341300017872,United States,Washington,Okanogan,-8,32.9811018310547,87.858228008204,8.74014285349873,2.6638960838317867
3476,48.7479827304362,-119.180505648759,United States,Washington,Okanogan,-8,10.998549206543,29.1676930550892,20.9311688245431,2.6519582271575817
3477,48.771598342897,-119.019575061345,United States,Washington,Okanogan,-8,22.5577801757813,60.0864299604485,32.3399740034467,2.6636676788330025
3478,48.7950535991074,-118.858509011192,United States,Washington,Okanogan,-8,1.6199280670166,4.35887185279328,24.3288766056529,2.6907811164855957
3479,48.8183482807782,-118.697308258261,United States,Washington,Ferry,-8,14.6180241210937,39.2640771122666,22.4159415460184,2.6860044002533026
3480,48.8414821705752,-118.535973566902,United States,Washington,Ferry,-8,12.7308506835937,34.0412994746014,28.8235779003788,2.673921823501596
3481,48.864455052131,-118.374505705837,United States,Washington,Ferry,-8,2.39803209228516,6.47421279486702,32.0428376363318,2.699802398681637
3482,48.887266710057,-118.21290544815,United States,Washington,Stevens,-8,7.14485703735352,19.4773322067174,34.6043181644258,2.726063251495354
3483,48.9099169299547,-118.051173571271,United States,Washington,Stevens,-8,4.68123294067383,12.7715024654498,36.158350621854,2.728234767913821
3484,48.9324054984276,-117.889310856961,United States,Washington,Stevens,-8,9.0762833496093709,25.3720450181844,26.560785694243,2.7954223155975373
3485,48.9547322030926,-117.727318091299,United States,Washington,Stevens,-8,21.8727645996094,63.886225728866,21.9968246635641,2.920811653137202
3486,48.9768968325916,-117.565196064664,United States,Washington,Stevens,-8,6.32626215820313,19.7446431044515,18.417564927611,3.121059894561758
3487,48.9988991766034,-117.402945571722,United States,Washington,Pend Oreille,-8,1.11625195770264,3.98356205809428,3.98823376490863,3.568694353103627
3839,48.2280190972936,-121.850570092617,United States,Washington,Snohomish,-8,0.20793600769043,0.507917136674515,7.59198051533946,2.442660808563226
3840,48.2542785930582,-121.69229838451,United States,Washington,Snohomish,-8,13.0467862792969,34.5642113909686,2.69735064736294,2.649250984191893
3841,48.2803817947346,-121.533879696987,United States,Washington,Snohomish,-8,5.235542578125,14.7382324050916,3.44558441227157,2.8150343894958425
3842,48.306328471113,-121.37531471124,United States,Washington,Skagit,-8,0.180071987915039,0.511299674904721,14.8766818100654,2.8394181728363033
3849,48.4835532371148,-120.261321630806,United States,Washington,Okanogan,-8,1.70459998626709,4.72921455898178,5.22374675043084,2.7743837833404568
3851,48.5327671530327,-119.941761053484,United States,Washington,Okanogan,-8,0.0917999974250793,0.250447414096736,16.954175310927,2.728185415267942
3852,48.5571360315631,-119.781771544147,United States,Washington,Okanogan,-8,7.92675867919922,21.5243184733963,18.144915574974,2.7153997421264675
3853,48.5813458938162,-119.62164352696,United States,Washington,Okanogan,-8,18.0644495361328,48.3696655726623,6.09661038331598,2.6776163578033487
3854,48.6053965183978,-119.461377736911,United States,Washington,Okanogan,-8,25.398530859375,67.4180689995554,2.98279220613579,2.6544082164764395
3855,48.6292876848068,-119.300974913405,United States,Washington,Okanogan,-8,23.4008011230469,61.8618052059894,14.805870119269,2.643576383590695
3856,48.653019173447,-119.140435800248,United States,Washington,Okanogan,-8,26.201221875,69.1627889933377,25.2043895911751,2.6396780014038064
3857,48.6765907656387,-118.979761145639,United States,Washington,Okanogan,-8,7.67041226806641,20.3549519595732,23.6397597231986,2.653697252273555
3858,48.7000022436303,-118.818951702154,United States,Washington,Ferry,-8,15.59446171875,42.1326870661424,11.4359415460184,2.7017724514007537
3859,48.7232533906097,-118.658008226737,United States,Washington,Ferry,-8,12.6047796020508,34.143984233238,9.62844804515672,2.708812475204467
3860,48.7463439907162,-118.496931480683,United States,Washington,Ferry,-8,1.47608101043701,3.97566167413755,12.3077077811098,2.693389892578126
3862,48.7920426916925,-118.174381243535,United States,Washington,Stevens,-8,10.0091438964844,27.1216756792998,21.5931493398826,2.709689855575559
3863,48.8146503657006,-118.012909296674,United States,Washington,Stevens,-8,18.1848875976563,49.2812325147945,30.7369675170628,2.7100102901458656
3864,48.8370966391357,-117.851307167615,United States,Washington,Stevens,-8,18.5317360839844,50.7240080175874,17.8967532368147,2.7371428012847856
3865,48.859381301066,-117.689575639211,United States,Washington,Stevens,-8,16.4360964111328,46.3256008276127,7.04558441227157,2.8185281753540083
3866,48.8815041415804,-117.52771549858,United States,Washington,Stevens,-8,2.09157286376953,6.23258198799067,13.7785908986555,2.97985410690308
3867,48.9034649517994,-117.365727537094,United States,Washington,Pend Oreille,-8,5.35406390991211,17.7889845163207,1.19183766184074,3.3225200176239054
3869,48.946899651062,-117.041371338203,United States,Washington,Pend Oreille,-8,0.16865999622345,0.582394278021674,32.8592337393997,3.4530670642852748
3870,48.9683731276093,-116.879004704657,United States,Idaho,Boundary,-8,0.425159991073608,1.45125649343513,30.1905714139949,3.4134361743926975
3871,48.9896837488914,-116.716513457938,United States,Idaho,Boundary,-8,1.0020600151062,3.28550278373277,18.0974935008617,3.278748512268067
4221,48.1861088556402,-121.490199964887,United States,Washington,Snohomish,-8,0.329183995056152,0.934340353132227,15.2313831047912,2.8383529186248797
